1241,0,,
1241,75,75,1261
1241,154,623,1445
1241,277,929,1515
1241,461,1117,1513
1241,612,1190,1479
1241,732,1249,1453
1241,864,1257,1402
1241,934,1273,1379
1241,1032,1272,1339
1241,1051,1261,1327
1241,1125,1265,1298
1241,1144,1232,1277
1241,1165,1256,1278
1241,1187,1260,1270
1241,1187,1269,1274
1241,1222,1265,1258
1241,1202,1253,1261
1241,1231,1250,1248
1241,1218,1244,1251
1241,1240,1253,1246
1241,1229,1240,1245
1241,1236,1253,1247
1241,1246,1239,1238
1241,1231,1250,1248
1241,1252,1239,1235
1241,1218,1242,1250
1241,1234,1244,1244
1241,1207,1248,1257
1241,1245,1259,1246
1241,1236,1241,1242
1241,1256,1254,1239
1241,1243,1237,1238
1241,1231,1251,1248
1241,1256,1243,1235
1241,1228,1246,1248
