0,0,0,0
70,124,0,1365
136,133,100,1276
304,754,235,1463
429,969,457,1456
590,1117,587,1460
724,1203,738,1432
823,1250,852,1403
935,1262,931,1376
979,1282,1021,1347
1064,1264,1050,1328
1096,1279,1118,1306
1126,1266,1138,1292
1166,1259,1159,1281
1168,1263,1190,1270
1207,1248,1188,1265
1192,1260,1220,1256
1218,1240,1204,1255
1223,1250,1226,1250
1216,1247,1229,1248
1241,1238,1221,1247
1215,1251,1243,1243
1248,1232,1219,1246
1231,1252,1249,1241
1236,1238,1232,1243
1242,1241,1237,1242
1226,1244,1242,1241
1253,1233,1227,1243
1225,1250,1252,1239
1247,1232,1226,1243
