1241,0,0,0
1241,81,71,2165
1241,212,1038,1635
1241,388,1184,1511
1241,591,1219,1436
1241,719,1216,1401
1241,825,1237,1360
1241,920,1223,1340
1241,980,1245,1312
1241,1050,1229,1301
1241,1067,1245,1288
1241,1126,1233,1277
1241,1124,1237,1275
1241,1176,1243,1258
1241,1157,1231,1269
1241,1191,1251,1249
1241,1205,1230,1256
1241,1207,1250,1245
1241,1226,1232,1249
1241,1205,1247,1247
1241,1239,1233,1245
1241,1218,1252,1241
1241,1247,1237,1241
1241,1214,1256,1240
1241,1242,1247,1237
1241,1230,1234,1247
1241,1239,1253,1235
1241,1243,1230,1245
1241,1225,1251,1240
1241,1251,1238,1239
1241,1230,1244,1242
1241,1249,1238,1240
1241,1227,1240,1245
1241,1258,1250,1231
1241,1236,1234,1245
